code,Age,Sexe,problèmes de santé,le travail à la maison,préscolaire,Travail,Interne / Externe,Qualification de la mère, Qualification Du père,Profession de la mère,Profession du père,Divorcé,Mort,aide aux devoirs,Specialté,Nombre de répitition,Score primaire,Score collégial,Score actuel,score en mathématiques,score en langue arabe,score en première langue,Public / Privé,Zone,Nombre d'enseignants,Electricité,Eau,pc,Livres,État civil,motivation,Style d'apprentissage,Status
16,24/3/2009,F,Non,Oui,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.46,9.67,9.67,7,10.41,5.1,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
17,5/12/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.41,9.9,9.9,10.67,10,11.4,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
18,21/1/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,7.53,7.42,7.42,5.67,10.69,5.9,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
19,26/7/2007,F,Non,Non,Non,Non,Interne,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.43,8.78,8.78,11.67,8.06,10.25,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
20,23/11/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,8.05,8.72,8.72,8.67,10,9.7,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
21,30/12/2008,F,Non,Oui,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.75,9.08,9.08,11,10,9.6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
22,21/4/2008,F,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.57,8.49,8.49,6,8.44,9.2,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
23,10/11/2008,M,Non,Non,Non,Non,Interne,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,7.09,9.56,9.56,11.33,9.19,10.1,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
24,22/5/2007,F,Non,Oui,Non,Non,Extrene,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,8.03,9.74,9.74,9.5,10.38,11.2,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
25,27/9/2008,M,Non,Non,Non,Non,Extrene,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,7.27,9.84,9.84,8.67,10.12,11.8,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
26,12/3/2006,M,Non,Non,Non,Non,Extrene,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,7.21,9.33,9.33,8.33,8.62,11.4,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
27,18/11/2005,M,Non,Non,Non,Non,Extrene,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.56,8.7,8.7,6.33,10.5,9.3,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
28,16/2/2007,M,Non,Non,Non,Non,Extrene,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.63,8.69,8.69,9.75,7,5,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
29,29/11/2005,M,Non,Non,Non,Non,Interne,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.91,9.72,9.72,10.83,9.53,10.2,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
30,22/9/2004,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.43,9.51,9.51,8,11.09,10.6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
31,29/4/2006,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.98,8.8,8.8,7.67,7.5,8.3,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
32,2/11/2004,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,7.32,9.96,9.96,7.33,10.44,11.4,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
33,18/3/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.72,8.07,8.07,8.17,7.53,7.9,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
34,20/3/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.91,8.56,8.56,7.83,9.75,10.6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
35,17/10/2006,F,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,5.47,9.05,9.05,8.17,9.81,11.3,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
36,6/9/2006,F,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,5.42,8.85,5.85,6.67,10.88,9.7,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
37,23/6/2005,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,décédé,,Oui,Non,collège,0,9.41,9.41,8,10,9.5,7.25,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
38,25/7/2005,F,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,6.5,9.87,9.87,7.67,10.12,10.2,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
39,2/5/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,5.88,9.98,8.98,7.67,7.69,8.8,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
40,17/1/2006,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,0,5.77,8.8,8.8,8.33,8.25,8,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
